번호,지역,행정동,정류소ID,정류소 명칭,안내기유형,세부유형,,,,,,,,
254,원미,도당동,11295,도당주민지원센터,LCD,쉘터(거치형),,,,,,,,
255,원미,도당동,11296,도당중학교,LCD,쉘터(거치형),,,,,,,,
256,원미,도당동,11298,도당주민지원센터,LCD,쉘터(독립형),,,,,,,,
257,원미,도당동,11299,온반도체,LCD,쉘터(거치형),,,,,,,,
258,원미,도당동,11300,온반도체,LCD,쉘터(거치형),,,,,,,,
259,원미,심곡동,11301,부천북초등학교.원미동우체국,LCD,독립형,,,,,,,,
260,원미,원미동,11302,부천북초등학교.원미동우체국,LCD,쉘터(거치형),,,,,,,,
261,원미,춘의동,11303,춘의역5번출구,LCD,쉘터(거치형),,,,,,,,
262,원미,도당동,11304,공구상가.부천천문과학관,LCD,쉘터(거치형),,,,,,,,
263,원미,도당동,11305,공구상가.부천천문과학관,LED,쉘터(거치형),,,,,,,,
264,원미,심곡동,11306,부천역.심곡동 행정복지센터,LED,쉘터(거치형),,,,,,,,
265,원미,심곡동,11308,부천동 행정복지센터.원미어울마당,LED,쉘터(독립형),,,,,,,,
266,원미,도당동,11309,도당사거리.도당중학교,LCD,독립형,,,,,,,,
267,원미,원미동,11310,부천동 행정복지센터.원미어울마당,LCD,쉘터(거치형),,,,,,,,
268,원미,춘의동,11311,춘의역4번출구,LCD,쉘터(독립형),,,,,,,,
269,원미,춘의동,11312,춘의테크노파크단지앞,LCD,쉘터(거치형),,,,,,,,
270,원미,춘의동,11313,춘의테크노파크단지앞,LCD,쉘터(거치형),,,,,,,,
271,원미,춘의동,11314,춘의역6번출구,LCD+LED,쉘터(거치형),,,,,,,,
272,원미,춘의동,11315,춘의역7번출구,LED,쉘터(거치형),,,,,,,,
273,원미,도당동,11318,복지아파트,LCD,쉘터(독립형),,,,,,,,
274,원미,심곡동,11319,소명사거리.동영피렌체,LED,쉘터(거치형),,,,,,,,
275,원미,심곡동,11320,소명여고사거리,LED,표지판일체형,,,,,,,,
276,원미,도당동,11322,복지아파트,LED,독립형,,,,,,,,
277,원미,원미동,11323,소명여중고입구,LED,쉘터(거치형),,,,,,,,
278,원미,심곡동,11324,소명사거리,LCD,독립형,,,,,,,,
279,원미,원미동,11325,소명여중고입구,LED,쉘터(거치형),,,,,,,,
280,원미,도당동,11326,도당동장미원입구,LCD,독립형,,,,,,,,
281,원미,원미동,11327,원미풍림아파트.사우촌,LED,독립형,,,,,,,,
282,원미,소사동,11328,부천성모병원입구,LCD,쉘터(독립형),,,,,,,,
283,원미,소사동,11329,소명사거리,LCD,쉘터(독립형),,,,,,,,
284,원미,춘의동,11330,춘의가구거리,LCD,쉘터(독립형),,,,,,,,
285,원미,소사동,11331,부천성모병원입구,LCD,쉘터(독립형),,,,,,,,
286,원미,원미동,11332,원미풍림아파트.사우촌,LCD,독립형,,,,,,,,
287,원미,원미동,11336,축협원미지점,LED,독립형,,,,,,,,
288,원미,원미동,11337,축협원미지점,LED,독립형,,,,,,,,
289,원미,원미동,11338,원미두산아파트,LCD,독립형,,,,,,,,
290,원미,원미동,11339,원미두산아파트,LCD,쉘터(독립형),,,,,,,,
291,원미,원미동,11340,조마루삼거리,LED,독립형,,,,,,,,
292,원미,원미동,11341,조마루삼거리,LCD+LED,표지판,,,,,,,,
293,원미,도당동,11342,KT북부천지사.365안전교육장,LCD,쉘터(독립형),,,,,,,,
294,원미,소사동,11343,소사역.부천성모병원입구,LCD,독립형,,,,,,,,
295,원미,춘의동,11344,춘의아파트,LCD,독립형,,,,,,,,
296,원미,춘의동,11345,춘의아파트,LED,쉘터(거치형),,,,,,,,
297,원미,소사동,11346,소사역.부천성모병원입구,LED,표지판일체형,,,,,,,,
298,원미,춘의동,11347,당아래지하차도,LCD,독립형,,,,,,,,
299,원미,도당동,11348,KT북부천지사.365안전교육장,LCD,독립형,,,,,,,,
300,원미,소사동,11349,소사주민지원센터.부천성모병원후문입구,LED,쉘터(거치형),,,,,,,,
301,원미,원미동,11350,석왕사.부천다문화지원센터,LED,쉘터(독립형),,,,,,,,
302,원미,원미동,11351,석왕사.부천다문화지원센터,LCD,쉘터(독립형),,,,,,,,
303,원미,춘의동,11352,당아래지하차도,LCD,쉘터(독립형),,,,,,,,
