시군명,구/읍면동명,업종구분명,시설명,교습과정명,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
부천시,중동,학교교과교습학원,중동이엠(EM)대한보습학원,보습,경기도 부천시 중동 1134-2번지 골드존타워 702호,경기도 부천시 원미구 조마루로285번길 50 골드존타워 702호 (중동),37.49962009,126.7752484
부천시,중동,학교교과교습학원,목동연세수학보습학원,보습,경기도 부천시 중동 1034-5번지 씨티오피스 6층 606호 일부,"경기도 부천시 길주로 221, 6층 606호 일부 (중동)",37.50462282,126.7671922
부천시,중동,학교교과교습학원,라임연기학원,연극,경기도 부천시 중동 1162-5번지 중동프라자 301호,"경기도 부천시 원미구 석천로 171, 301호 (중동, 중동프라자)",37.50275719,126.7624369
부천시,중동,학교교과교습학원,세종노블발레무용학원,무용,경기도 부천시 중동 1116번지 리첸시아 중동 B동 2층 230호,"경기도 부천시 옥산로 7, B동 2층 230호 (중동, 리첸시아 중동)",37.49501497,126.7794124
부천시,중동,학교교과교습학원,이미희feel(필)무용학원,무용,경기도 부천시 중동 1134-2번지 골드존타워 501호,"경기도 부천시 원미구 조마루로285번길 50, 501호 (중동, 골드존타워) (중동)",37.49962009,126.7752484
부천시,중동,학교교과교습학원,미르수학보습학원,보습,경기도 부천시 중동 1134-2번지 골드존타워 301호,경기도 부천시 원미구 조마루로285번길 50 골드존타워 301호 (중동),37.49962009,126.7752484
부천시,중동,학교교과교습학원,아카데미독서실,독서실(유아/초·중·고),"경기도 부천시 중동 1170번지 포도마을 삼보상가 305호, 306호","경기도 부천시 원미구 조마루로 137  포도마을 삼보상가 305호, 306호",37.50101138,126.7590724
부천시,중동,학교교과교습학원,GMS(지엠에스)아카데미입시학원,입시,"경기도 부천시 중동 807번지 3층 7-2호, 9호","경기도 부천시 부일로 326, 3층 7-2호, 9호 (중동)",37.48795258,126.7662496
부천시,중동,학교교과교습학원,신사고수학보습학원,보습,"경기도 부천시 중동 681번지 2층, 6층","경기도 부천시 석천로 94, 2층, 6층 (중동)",37.49576382,126.7616112
부천시,중동,학교교과교습학원,동부송현보습학원,보습,경기도 부천시 중동 1062-4번지 로얄프라자 604호,경기도 부천시 원미구 길주로 307 로얄프라자 604호 (중동),37.5034251,126.7767184
부천시,중동,학교교과교습학원,포마스터수학영어보습학원,보습,경기도 부천시 중동 1034-4번지 드림빌딩 3층 302호,"경기도 부천시 길주로 219, 드림빌딩 3층 302호 (중동)",37.504703,126.7667396
부천시,중동,학교교과교습학원,엘리트음악학원,음악,경기도 부천시 중동 1052-2번지 301호,경기도 부천시 원미구 계남로 208 301호,37.50683988,126.7720711
부천시,중동,학교교과교습학원,U1(유원)영문법보습학원,보습,경기도 부천시 중동 1052-2번지 302호,"경기도 부천시 원미구 계남로 208, 302호 (중동)",37.50683988,126.7720711
