시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,
유치원,소림유치원,경기도 부천시 역곡로504번길 95-16,경기도 부천시 고강본동 359-3,37.529617,126.821612,부천원미경찰서,Y,3,6,부천시
유치원,샤인유치원,경기도 부천시 양지남로 69-12,경기도 부천시 범박동 232-4,37.468327,126.814221,부천원미경찰서,Y,5,6,부천시
유치원,소화유치원,경기도 부천시 고강로72번길 51-6,경기도 부천시 고강동 309-1번지,37.527201,126.812509,부천원미경찰서,Y,5,6,부천시
유치원,예아뜨유치원,경기도 부천시 상이로51번길 30,경기도 부천시 상동 595-1번지,37.493454,126.742469,부천원미경찰서,Y,4,6,부천시
유치원,원미유치원,경기도 부천시 조종로50번길 76,경기도 부천시 원미동 194-12번지,37.489572,126.789178,부천원미경찰서,Y,3,6,부천시
유치원,진명유치원,경기도 부천시 성오로 12-1,경기도 부천시 작동 64-7번지,37.515661,126.804661,부천원미경찰서,Y,5,11,부천시
유치원,예일유치원,경기도 부천시 범안로 154,경기도 부천시 범박동 151-3,37.468032,126.80906,부천원미경찰서,Y,5,6,부천시
유치원,더크는중앙유치원,경기도 부천시 오정로266번길 15,경기도 부천시 오정동 112-4번지,37.528322,126.795928,부천원미경찰서,Y,3,6,부천시
특수학교,부천상록학교,경기도 부천시  춘의동 258,경기도 부천시 춘의동 258,37.506077,126.805865,부천원미경찰서,Y,3,32,부천시
초등학교,양지초교,경기도 부천시 부광로 43,경기도 부천시 괴안동 121,37.481144,126.814674,부천원미경찰서,Y,15,7,부천시
초등학교,역곡초등학교,경기도 부천시  역곡1동 172-2,경기도 부천시 역곡1동 172-2,37.491295,126.807978,부천원미경찰서,Y,13,8,부천시
초등학교,부천동초등학교,경기도 부천시 지봉로51번길 16-5,경기도 부천시 역곡2동 32,37.487138,126.805002,부천원미경찰서,Y,24,6,부천시
초등학교,상지초등학교,경기도 부천시  중동 769,경기도 부천시 중동 769,37.492982,126.765217,부천원미경찰서,Y,20,14,부천시
초등학교,상동초등학교,경기도 부천시 신상로 94,경기도 부천시 상1동 391,37.496621,126.748861,부천원미경찰서,Y,13,22,부천시
초등학교,송내초등학교,경기도 부천시 석천로 15,경기도 부천시 상동 432-2,37.488931,126.759551,부천원미경찰서,Y,19,16,부천시
초등학교,고리울교,경기도 부천시 고리울로 93,경기도 부천시 고강동 325-4,37.503526,126.766322,부천원미경찰서,Y,17,6,부천시
초등학교,대장초교,경기도 부천시 대장 196-1,경기도 부천시 대장동 196-1,37.503526,126.766322,부천원미경찰서,Y,4,8,부천시
초등학교,동산초교,경기도 부천시 오정로251번길 50,경기도 부천시 오정동 727,37.528322,126.795928,부천원미경찰서,Y,11,9,부천시
초등학교,성곡초교,경기도 부천시 여월로 75,경기도 부천시 여월동 325,37.503526,126.766322,부천원미경찰서,Y,15,27,부천시
