연번,노선명,기점,종점,자전거도로종류,총연장길이(km),분리형 자전거도로(m),분리형 보도(m),분리형 유효폭원(m),비분리형 도로폭원(m),비분리형 유효폭원(m)
181,송내대로3R,중동대로사거리,길주사거리,겸용도로(분리형),0.32,2.6,7.6,5,0,0
182,송내대로4R,길주사거리,중원고사거리,겸용도로(분리형),0.35,2.5,7.4,5.5,0,0
183,송내대로5R,중원고사거리,부천체육관,겸용도로(비분리형),0.23,0,0,0,5,2.1
184,송내대로6R,부천체육관,부천체육관사거리,겸용도로(분리형),0.1,2.6,7.6,4.9,0,0
185,송내대로7R,부천체육관사거리,아파트형공장사거리,겸용도로(분리형),0.28,2.5,7.5,4.9,0,0
186,송내대로8R,아파트형공장사거리,지역난방공사삼거리,겸용도로(분리형),0.25,2.6,7.6,3.6,0,0
187,송내대로9R,지역난방공사삼거리,국민차매매단지,겸용도로(분리형),0.25,5,1.2,3.6,0,0
188,송내대로10R,국민차매매단지,삼정고가차도,겸용도로(비분리형),0.05,0,0,0,3.8,3
189,송내대로11R,삼정고가차도,삼정고가교삼거리,겸용도로(비분리형),0.22,0,0,0,3.5,3.5
190,송내대로12R,삼정고가교삼거리,송내대로518번길,겸용도로(비분리형),0.39,0,0,0,4.7,3.5
191,송내대로13R,송내대로518번길,중동대로입구,겸용도로(비분리형),0.2,0,0,0,4.9,3.7
192,송내대로14R,송내역앞교차로,법원사거리,겸용도로(분리형),0.31,2.5,7.5,5.5,0,0
193,송내대로15R,법원사거리,복사골문화센터사거리,겸용도로(분리형),0.26,2.5,7.5,5,0,0
194,송내대로16R,복사골문화센터사거리,넘말사거리,겸용도로(분리형),0.32,2.5,7.5,5,0,0
195,송내대로17R,넘말사거리,화목사거리,겸용도로(분리형),0.26,2.5,7.5,5,0,0
196,송내대로1L,송내대로205번길,화목사거리,겸용도로(비분리형),0.16,0,0,0,4,2.6
197,송내대로2L,송내대로205번길,화목사거리,겸용도로(분리형),0.14,2,5,5,0,0
198,송내대로3L,중동전화국사거리,송내대로205번길,겸용도로(비분리형),0.07,0,0,0,2.2,0.8
199,송내대로4L,중동전화국사거리,송내대로205번길,겸용도로(분리형),0.07,2,5,5,0,0
200,송내대로5L,중동대로사거리,중동전화국사거리,겸용도로(분리형),0.21,2,6.6,4.1,0,0
201,송내대로6L,송내대로256번길,중동대로사거리,겸용도로(분리형),0.12,2,8.5,3.5,0,0
202,송내대로7L,길주사거리,송내대로256번길,겸용도로(비분리형),0.17,0,0,0,2.2,0.9
203,송내대로8L,길주사거리,송내대로256번길,겸용도로(분리형),0.16,2.5,5.1,5.1,0,0
204,송내대로9L,중원고사거리,길주사거리,겸용도로(분리형),0.25,1.9,3.8,3.8,0,0
205,송내대로10L,중원고사거리,길주사거리,겸용도로(비분리형),0.25,0,0,0,2,0.6
206,송내대로11L,부천체육관사거리,중원고사거리,겸용도로(분리형),0.36,1.8,3.4,3.4,0,0
207,송내대로12L,부천체육관사거리,중원고사거리,겸용도로(비분리형),0.35,0,0,0,2,0.6
208,송내대로13L,지역난방공사삼거리,부천체육관사거리,겸용도로(비분리형),0.52,0,0,0,4.9,3.5
209,송내대로14L,국민차매매단지,지역난방공사삼거리,겸용도로(비분리형),0.31,0,0,0,2,0.4
210,송내대로15L,중동대로입구,삼정고가교삼거리,겸용도로(비분리형),0.63,0,0,0,2.3,0.9
211,송내대로16L,송내역앞교차로,법원사거리,겸용도로(분리형),0.31,2.5,7.5,6,0,0
212,송내대로17L,법원사거리,복사골문화센터사거리,겸용도로(분리형),0.25,2.5,7.5,4.2,0,0
213,송내대로18L,복사골문화센터사거리,넘말사거리,겸용도로(분리형),0.32,2.4,7.2,4.2,0,0
214,송내대로19L,넘말사거리,화목사거리,겸용도로(비분리형),0.28,0,0,0,2,0.6
215,장말로1R,상도중사거리,장말문예사거리,겸용도로(비분리형),0.42,0,0,0,3,1.7
216,장말로2R,장말문예사거리,장말문예사거리,겸용도로(분리형),0.06,1.3,3,1.6,0,0
217,장말로3R,장말문예사거리,상도중사거리,겸용도로(분리형),0.31,1.5,4.2,3,0,0
218,장말로4R,상도중사거리,부천대학교사거리,겸용도로(비분리형),0.59,0,0,0,3,1.8
219,장말로5R,부천대학교사거리,장말삼거리,겸용도로(분리형),0.52,1.3,3,2.1,0,0
220,장말로1L,상도중사거리,장말문예사거리,겸용도로(분리형),0.5,1.2,3,1.7,0,0
221,장말로2L,장말문예사거리,상도중사거리,겸용도로(분리형),0.3,1.2,3,1.7,0,0
222,장말로3L,상도중사거리,부천대학교사거리,겸용도로(비분리형),0.6,0,0,0,3,1.8
223,장말로4L,부천대학교사거리,장말삼거리,겸용도로(분리형),0.52,1,3,2,0,0
224,상동로1R,상일사거리,조마루로85번길,겸용도로(분리형),0.16,1.2,5.5,3,0,0
225,상동로2R,송내대로205번길,중앙사거리,겸용도로(분리형),0.08,2,5.5,3,0,0
226,상동로3R,중앙사거리,김가네,겸용도로(분리형),0.13,2.1,5.5,4,0,0
227,상동로4R,KEB하나은행상동역지점,상동역사거리,겸용도로(분리형),0.06,2.1,12.4,9.2,0,0
228,상동로5R,상동역사거리,석촌초교사거리,겸용도로(분리형),0.34,2,5.5,2.8,0,0
229,상동로6R,석촌초교사거리,굴포로사거리,겸용도로(분리형),0.25,2,4.5,2.9,0,0
230,상동로7R,굴포로사거리,호수로삼거리,겸용도로(분리형),0.34,2,5.5,2.9,0,0
231,상동로8R,우체국삼거리,상일사거리,겸용도로(분리형),0.32,1.5,5.5,3.5,0,0
232,상동로1L,중앙사거리,상일사거리,겸용도로(분리형),0.26,2,5.5,3,0,0
233,상동로2L,상동역사거리,중앙사거리,겸용도로(분리형),0.21,2,5.5,4,0,0
234,상동로3L,영광사거리,상동역사거리,겸용도로(분리형),0.16,2,5.5,4,0,0
235,상동로4L,석촌초교사거리,영광사거리,겸용도로(분리형),0.17,2,5.5,2.8,0,0
236,상동로5L,굴포로사거리,석촌초교사거리,겸용도로(분리형),0.25,2,5.5,2.9,0,0
237,상동로6L,호수로삼거리,굴포로사거리,겸용도로(분리형),0.34,2,5.5,2.9,0,0
238,상동로7L,우체국삼거리,상일사거리,겸용도로(분리형),0.33,2,5.5,4,0,0
239,조마루로1R,상일사거리,화목사거리,겸용도로(분리형),0.36,2,5,3.8,0,0
240,조마루로2R,화목사거리,부명사거리,겸용도로(비분리형),0.41,0,0,0,3,1.5
241,조마루로3R,부명사거리,중앙공원사거리,겸용도로(비분리형),0.5,0,0,0,3.5,2
242,조마루로4R,중앙공원사거리,번영사거리,겸용도로(비분리형),0.63,0,0,0,3.3,1.8
243,조마루로5R,번영사거리,신흥고가사거리,겸용도로(비분리형),0.15,0,0,0,3,1.5
244,조마루로6R,부개동510,상동624-2,겸용도로(분리형),0.23,2,5,3.7,0,0
245,조마루로7R,상동624-3,건강사거리,겸용도로(분리형),0.07,2,5.1,4,0,0
246,조마루로8R,건강사거리,상일사거리,겸용도로(분리형),0.36,2,5,3.7,0,0
247,조마루로1L,건강사거리,부평디자인과학고등학교,겸용도로(분리형),0.23,2,5,3.7,0,0
248,조마루로2L,건강사거리,상동624-2,겸용도로(분리형),0.07,2,5.1,3.9,0,0
249,조마루로3L,상일사거리,건강사거리,겸용도로(분리형),0.36,2,5,3.7,0,0
250,조마루로4L,상일사거리,화목사거리,겸용도로(분리형),0.35,2,5,3.4,0,0
251,조마루로5L,화목사거리,부명사거리,겸용도로(비분리형),0.41,0,0,0,3,1.5
252,조마루로6L,부명사거리,중앙공원사거리,겸용도로(분리형),0.5,4.3,9,7.5,0,0
253,조마루로7L,중앙공원사거리,번영사거리,겸용도로(비분리형),0.63,0,0,0,3,1.5
254,조마루로8L,번영사거리,신흥고가사거리,겸용도로(비분리형),0.15,0,0,0,3,1.5
255,석천로1R,석천로입구사거리,상도중사거리,겸용도로(비분리형),0.53,0,0,0,3.5,2.3
256,석천로2R,상도중사거리,영안아파트사거리,겸용도로(비분리형),0.32,0,0,0,3.5,2.3
257,석천로3R,영안아파트사거리,부명사거리,겸용도로(비분리형),0.28,0,0,0,3.5,2
258,석천로4R,부명사거리,포도마을사거리,겸용도로(분리형),0.27,2.4,5.4,4,0,0
259,석천로5R,포도마을사거리,석촌로184번길,겸용도로(비분리형),0.17,0,0,0,3.5,2
260,석천로6R,석촌로184번길,석촌사거리,겸용도로(비분리형),0.07,0,0,0,3.5,2.2
261,석천로7R,석촌사거리,계남로교차로,겸용도로(비분리형),0.34,0,0,0,3.5,1.6
262,석천로8R,계남로교차로,중원초교사거리,겸용도로(비분리형),0.27,0,0,0,3.4,1.5
263,석천로9R,중원초교사거리,부천초교사거리,겸용도로(분리형),0.42,1.9,6.5,4.7,0,0
264,석천로10R,부천초교사거리,평천로669번길,겸용도로(비분리형),0.14,0,0,0,3.9,2.5
265,석천로11R,평천로669번길,소각장사거리,겸용도로(분리형),0.43,1.8,5,3.2,0,0
266,석천로12R,소각장사거리,석천로398번길,겸용도로(비분리형),0.25,0,0,0,2.3,1.1
267,석천로13R,석천로398번길,삼정교사거리,겸용도로(비분리형),0.39,0,0,0,2.5,1.3
268,석천로1L,석천로입구사거리,송내초교사거리,겸용도로(비분리형),0.25,0,0,0,3.5,2
269,석천로2L,송내초교사거리,상도중사거리,겸용도로(비분리형),0.26,0,0,0,3.5,2.2
270,석천로3L,상도중사거리,영안아파트사거리,겸용도로(비분리형),0.32,0,0,0,3.5,2
271,석천로4L,영안아파트사거리,부명사거리,겸용도로(비분리형),0.28,0,0,0,3.5,1.8
272,석천로5L,포도마을사거리,부명사거리,겸용도로(비분리형),0.27,0,0,0,3.5,2
273,석천로6L,석천로183번길,포도마을사거리,겸용도로(비분리형),0.17,0,0,0,3.4,1.5
274,석천로7L,석천사거리,석천로183번길,겸용도로(분리형),0.06,1.4,6.3,4.7,0,0
275,석천로8L,계남로교차로,석천사거리,겸용도로(비분리형),0.34,0,0,0,3.4,1.5
276,석천로9L,중원초교사거리,계남로교차로,겸용도로(비분리형),0.27,0,0,0,3.2,1.3
277,석천로10L,부천초교사거리,중원초교사거리,겸용도로(비분리형),0.42,0,0,0,3.5,2.1
278,석천로11L,뷰그린안아파트,부천초교사거리,겸용도로(비분리형),0.29,0,0,0,3.1,1.7
279,석천로12L,소각장사거리,뷰그린안앙파트,겸용도로(비분리형),0.22,0,0,0,3,1.7
280,석천로13L,석천로398번길,소각장사거리,겸용도로(분리형),0.23,1.4,3.5,2.3,0,0
281,석천로14L,삼정교사거리,석천로398번길,겸용도로(분리형),0.51,1.4,3.5,2.3,0,0
282,중동로1R,송내사거리,중동고가교,겸용도로(분리형),0.24,2.1,7,5.8,0,0
283,중동로2R,중동역,중동사거리,겸용도로(비분리형),0.15,0,0,0,3,2
284,중동로3R,중동사거리,장말문예사거리,겸용도로(분리형),0.43,1.5,4.5,3.5,0,0
285,중동로4R,장말문예사거리,복사골아파트사거리,겸용도로(비분리형),0.32,0,0,0,3.3,1.8
286,중동로5R,복사골아파트사거리,중앙공원사거리,겸용도로(비분리형),0.27,0,0,0,3.5,2
