"학교ID",학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000008817,연화중학교,중학교,2000-03-01,공립,본교,운영,인천광역시 연수구 연수동 632,인천광역시 연수구 용담로 156,7310000,인천광역시교육청,7341000,인천광역시동부교육지원청,2013-11-29,2020-09-22,37.4123312199,126.6803368364,2021-03-25
B000007187,낙서초등학교,초등학교,1943-04-10,공립,본교,운영,경상북도 상주시 내서면 낙서리 20-25,경상북도 상주시 내서면 영남제일로 3173,8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2020-09-22,36.4071961124,128.0206482025,2021-03-25
B000010567,장흥중학교,중학교,1946-10-24,공립,본교,운영,전라남도 장흥군 장흥읍 건산리 506,전라남도 장흥군 장흥읍 장흥로 49-1,8490000,전라남도교육청,8621000,전라남도장흥교육지원청,2013-11-29,2020-09-22,34.6841978426,126.9097274812,2021-03-25
B000009360,원삼중학교,중학교,1950-04-01,공립,본교,운영,경기도 용인시 처인구 원삼면 고당리 95-1,경기도 용인시 처인구 원삼면 고당로16번길 29,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2020-09-22,37.1681630486,127.3093127481,2021-03-25
B000013276,예천여자고등학교,고등학교,1955-05-19,공립,본교,운영,경상북도 예천군 예천읍 백전리 55-1,경상북도 예천군 예천읍 효자로 205,8750000,경상북도교육청,8951000,경상북도예천교육지원청,2013-11-29,2020-09-22,36.6651270590,128.4604323385,2021-03-25
B000010516,담양여자중학교,중학교,1968-03-13,공립,본교,운영,전라남도 담양군 담양읍 강쟁리 176,전라남도 담양군 담양읍 신성길 20,8490000,전라남도교육청,8561000,전라남도담양교육지원청,2013-11-29,2020-09-22,35.2996033259,126.9762151670,2021-03-25
B000003076,인천상아초등학교,초등학교,2008-03-01,공립,본교,운영,인천광역시 남동구 간석동 939-4,인천광역시 남동구 석산로184번길 66,7310000,인천광역시교육청,7341000,인천광역시동부교육지원청,2013-11-29,2020-09-22,37.4574783236,126.7120977,2021-03-25
B000004538,행주초등학교,초등학교,1934-04-01,공립,본교,운영,경기도 고양시 덕양구 행주내동 175,경기도 고양시 덕양구 행주로17번길 70,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2020-09-22,37.6034034024,126.8243427763,2021-03-25
B000022499,충주대림초등학교,초등학교,1987-04-07,공립,본교,운영,충청북도 충주시 문화동 181,충청북도 충주시 대림1길 28,8000000,충청북도교육청,8021000,충청북도충주교육지원청,2013-11-29,2020-09-22,36.9691305827,127.9180438755,2021-03-25
B000007106,옥계초등학교,초등학교,1943-04-01,공립,본교,운영,경상북도 구미시 옥계동 605,경상북도 구미시 산호대로23길 21-7,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2020-09-22,36.1404745006,128.4143869918,2021-03-25
B000012544,용인홍천고등학교,고등학교,2006-03-01,공립,본교,운영,경기도 용인시 수지구 신봉동 885,경기도 용인시 수지구 수지로227번길 22,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2020-09-22,37.3222107240,127.0823970947,2021-03-25
B000004314,덕풍초등학교,초등학교,1992-09-01,공립,본교,운영,경기도 하남시 덕풍동 360-21,경기도 하남시 덕풍공원로 20,7530000,경기도교육청,7692000,경기도광주하남교육지원청,2013-11-29,2020-09-22,37.5406767360,127.1975011,2021-03-25
B000010640,삼계중학교,중학교,1965-03-10,공립,본교,운영,전라남도 장성군 삼계면 사창리 339,전라남도 장성군 삼계면 사창로 47,8490000,전라남도교육청,8691000,전라남도장성교육지원청,2013-11-29,2020-09-22,35.2584815021,126.6654826900,2021-03-25
B000004026,백암초등학교,초등학교,1919-04-29,공립,본교,운영,경기도 용인시 처인구 백암면 근창리 105,경기도 용인시 처인구 백암면 백원로 501,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2020-09-22,37.1641457287,127.3674899969,2021-03-25
B000024709,호연초등학교,초등학교,2021-03-01,공립,본교,운영,경기도 화성시 장지동 925,경기도 화성시 동탄대로3길 17-7,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2013-11-29,2021-03-22,37.16290079,127.1047456,2021-03-25
B000002652,감전초등학교,초등학교,1975-03-01,공립,본교,운영,부산광역시 사상구 감전동 119-6,부산광역시 사상구 괘감로 132,7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2013-11-29,2020-09-22,35.1557458765,128.9886678976,2021-03-25
B000004176,푸른초등학교,초등학교,2008-04-16,공립,본교,운영,경기도 화성시 능동 1136,경기도 화성시 동탄공원로 21-38,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2013-11-29,2020-09-22,37.2023895766,127.0552901,2021-03-25
