시군명,시설구분명,시설명,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
부천시,체육도장업,연세대 튼튼 태권도장,경기도 부천시 소사본동 409-1번지 ,"경기도 부천시 소사동로 78, 401,402호 (소사본동)",37.47281286,126.8032897
부천시,체육도장업,용인대금성태권도장,경기도 부천시 중동 1104번지 2층,"경기도 부천시 옥산로 81, 2층 (중동)",37.5014296,126.7791897
부천시,체육도장업,임흥식 복싱클럽,경기도 부천시 상동 410-3 3층 ,"경기도 부천시 상일로94번길 40, 3층 (상동)",37.48973627,126.7525013
부천시,체육도장업,백호태권도장,경기도 부천시 원미동 94-3번지,경기도 부천시 원미로 124 (원미동),37.493424,126.7912677
부천시,체육도장업,경희대석사비룡태권도장,경기도 부천시 중동 1186번지,"경기도 부천시 중동로 168, 404호 (중동)",37.494182,126.7680504
부천시,체육도장업,백상태권도체육관,경기도 부천시 심곡동 110-1번지,경기도 부천시 부천로103번길 9  (심곡동),37.4934021,126.7841891
부천시,체육도장업,비전 태권도장,경기도 부천시 고강동 295-1번지 4층,"경기도 부천시 원종로 106  (고강동,4층)",37.5238132,126.8117138
부천시,체육도장업,용인대명문체육관,경기도 부천시 삼정동 296-13번지,경기도 부천시 중동로 433  (삼정동),37.5185121,126.7697388
부천시,체육도장업,엘리트 합기도특공무술&태권도,경기도 부천시 옥길동 726-4번지,"경기도 부천시 옥길로 113, 상림프라자 602,603호 (옥길동)",37.4671839,126.8219299
부천시,체육도장업,강무체육도장,경기도 부천시 송내동 612-5번지,경기도 부천시 성주로 128-1  (송내동),37.4793205,126.7705164
부천시,체육도장업,쌍호태권도장,경기도 부천시 고강동 377-29번지 ,"경기도 부천시 역곡로482번길 51, 3,4층 (고강동)",37.5266986,126.8187657
부천시,체육도장업,여의도순복음태권도,경기도 부천시 상동 554-3번지 해피플러스 701호,"경기도 부천시 조마루로85번길 7-44  (상동,해피플러스 701호)",37.501674,126.7528276
부천시,체육도장업,가온키즈펀 태권도,경기도 부천시 원종동 374-4번지 3층 ,"경기도 부천시 삼작로 385, 3층 (원종동)",37.519927,126.804439
부천시,체육도장업,명성체육관,경기도 부천시 중동 884번지,,37.4920707,126.7665757
부천시,체육도장업,김재경 복싱클럽,경기도 부천시 원종동 222번지,경기도 부천시 원종로 30  (원종동),37.5237904,126.8033541
부천시,체육도장업,오상태권도,경기도 부천시 춘의동 216-0002번지 2층,경기도 부천시 계남로 335 2층 (춘의동),37.5010676,126.7831828
부천시,체육도장업,부천현대체육관,경기도 부천시 범박동 154-2 부천 범박 힐스테이트 1단지 상가동 ,"경기도 부천시 범안로 77, 부천 범박 힐스테이트 1단지 상가동 301호 (범박동)",37.47493636,126.8088003
부천시,체육도장업,천권사관태권도장,경기도 부천시 심곡동 357-4번지,경기도 부천시 심중로 48  (심곡동),37.48765,126.7727406
부천시,체육도장업,경희대 코리아 UTC 태권도,경기도 부천시 괴안동 109번지 seco plaza 302,"경기도 부천시 경인로 486  (괴안동,seco plaza 302)",37.4829587,126.8095228
부천시,체육도장업,청무검도관,경기도 부천시 중동 1134-1번지 401반,경기도 부천시 조마루로285번길 60  (중동),37.4999802,126.7751342
부천시,체육도장업,꿈나무태권도,경기도 부천시 상동 523-8번지 외1필지 에이스프라자 402호,"경기도 부천시 도약로 29, 402호 (상동, 에이스프라자)",37.5125933,126.7524971
부천시,체육도장업,부천화랑태권도,경기도 부천시 심곡동 327 ,경기도 부천시 장말로 310 (심곡동),37.49096636,126.7763458
부천시,체육도장업,kosa태권도아카데미,경기도 부천시 상동 546-6번지,경기도 부천시 소향로 25  (상동),37.5038676,126.7505471
부천시,체육도장업,힘찬 태권도,경기도 부천시 삼정동 314-1번지 2층,"경기도 부천시 평천로721번길 21 (삼정동,2층)",37.5160092,126.7706854
부천시,체육도장업,K브레인태권도장,경기도 부천시 약대동 216-1번지,"경기도 부천시 평천로 679, 119동 203호 (약대동)",37.5158728,126.7655506
부천시,체육도장업,금메달체육관(태권),경기도 부천시 송내동 365-5번지,경기도 부천시 경인로53번길 30 (송내동),37.4848437,126.7615784
부천시,체육도장업,용인대신도태권도체육관,경기도 부천시 중동 1172번지,,37.498541,126.7582775
부천시,체육도장업,통일태권도체육관,경기도 부천시 송내동 545-11번지,,37.4843468,126.7699129
