관리번호,노선명,노선번호,기점,종점,총연장,포장도연장 계(단위:㎞),포장도연장 2차선,포장도연장 4차선,포장도연장 6차선,포장도연장 8차선,미개설도연장(단위:㎞)
945,소로3류21호선,시도945호선(오정-오정),오정동 174,오정동 174,0.113,0.113,0.113,,,,
946,소로3류22호선,시도946호선(오정-오정),오정동 174,오정동 174,0.078,0.078,0.078,,,,
947,소로3류23호선,시도947호선(오정-오정),오정동 176,오정동 176,0.05,0.05,0.05,,,,
948,소로3류24호선,시도948호선(오정-오정),오정동 176,오정동 176,0.051,0.051,0.051,,,,
949,소로3류25호선,시도949호선(오정-오정),오정동 176,오정동 176-1,0.05,0.05,0.05,,,,
950,소로3류26호선,시도950호선(오정-오정),오정동 176,오정동 176-1,0.05,0.05,0.05,,,,
951,소로3류27호선,시도951호선(오정-오정),오정동 176,오정동 176-1,0.05,0.05,0.05,,,,
952,소로3류28호선,시도952호선(오정-오정),오정동 176,오정동 176-1,0.09,0.09,0.09,,,,
953,소로3류29호선,시도953호선(오정-오정),오정동 142-1,오정동 142-1,0.052,0.052,0.052,,,,
954,소로3류30호선,시도954호선(오정-오정),오정동 142-1,오정동 142-1,0.128,0.128,0.128,,,,
955,소로3류31호선,시도955호선(오정-오정),오정동 141-3,오정동 141-3,0.065,0.065,0.065,,,,
956,소로3류32호선,시도956호선(오정-오정),오정동 142,오정동 141-2,0.256,0.256,0.256,,,,
957,소로3류33호선,시도957호선(원종-오정),원종동 399,오정동 399,0.167,0.167,0.167,,,,
958,소로3류34호선,시도958호선(오정-오정),오정동 142,오정동 141-3,0.49,0.49,0.49,,,,
959,소로3류35호선,시도959호선(오정-오정),오정동 399,오정동 141-3,0.33,0.33,0.33,,,,
960,소로3류36호선,시도960호선(원종-원종),원종동 401,원종동 401,0.235,0.235,0.235,,,,
961,소로3류37호선,시도961호선(원종-오정),원종동 401,오정동 141-2,0.618,0.618,0.618,,,,
962,소로3류38호선,시도962호선(원종-오정),원종동 402,오정동 141,0.642,0.642,0.642,,,,
963,소로3류39호선,시도963호선(오정-오정),오정동 141,오정동 141,0.036,0.036,0.036,,,,
964,소로3류40호선,시도964호선(원종-원종),원종동 392,원종동 390,0.4,0.4,0.4,,,,
965,소로3류41호선,시도965호선(원종-원종),원종동 390,원종동 390,0.174,0.174,0.174,,,,
966,소로3류42호선,시도966호선(원종-원종),원종동 390,원종동 390,0.142,0.142,0.142,,,,
967,소로3류43호선,시도967호선(원종-원종),원종동 292,원종동 291,0.194,0.194,0.194,,,,
968,소로3류44호선,시도968호선(원종-원종),원종동 393,원종동 393,0.487,0.487,0.487,,,,
969,소로3류45호선,시도969호선(원종-원종),원종동 396-1,원종동 296,0.298,0.298,0.298,,,,
970,소로3류46호선,시도970호선(원종-원종),원종동 397,원종동 397,0.134,0.134,0.134,,,,
971,소로3류47호선,시도971호선(원종-원종),원종동 402,원종동 402,0.144,0.144,0.144,,,,
972,소로3류48호선,시도972호선(원종-원종),원종동 391,원종동 391,0.13,0.13,0.13,,,,
973,소로3류49호선,시도973호선(원종-원종),원종동 208-1,원종동 208-1,0.045,0.045,0.045,,,,
974,소로3류50호선,시도974호선(원종-원종),원종동 402,원종동 395,0.494,0.494,0.494,,,,
975,소로3류51호선,시도975호선(원종-원종),원종동 415,원종동 415,0.32,0.32,0.32,,,,
976,소로3류52호선,시도976호선(원종-원종),원종동 415,원종동 415,0.064,0.064,0.064,,,,
977,소로3류53호선,시도977호선(원종-원종),원종동 415,원종동 415,0.11,0.11,0.11,,,,
978,소로3류54호선,시도978호선(원종-원종),원종동 408,원종동 408,0.064,0.064,0.064,,,,
979,소로3류55호선,시도979호선(원종-원종),원종동 411,원종동 411,0.122,0.122,0.122,,,,
980,소로3류56호선,시도980호선(원종-원종),원종동 407,원종동 407,0.122,0.122,0.122,,,,
981,소로3류57호선,시도981호선(원종-원종),원종동 407,원종동 412,0.276,0.276,0.276,,,,
982,소로3류58호선,시도982호선(원종-원종),원종동 420,원종동 410,0.586,0.586,0.586,,,,
983,소로3류59호선,시도983호선(원종-원종),원종동 416,원종동 416,0.142,0.142,0.142,,,,
984,소로3류60호선,시도984호선(원종-원종),원종동 417,원종동 417,0.202,0.202,0.202,,,,
985,소로3류61호선,시도985호선(원종-원종),원종동 418,원종동 418,0.198,0.198,0.198,,,,
986,소로3류62호선,시도986호선(고강-고강),고강동 432,고강동 432,0.103,0.103,0.103,,,,
987,소로3류63호선,시도987호선(고강-고강),고강동 431,고강동 429,0.41,0.41,0.41,,,,
988,소로3류64호선,시도988호선(고강-고강),고강동 436,고강동 429,0.417,0.417,0.417,,,,
989,소로3류65호선,시도989호선(고강-고강),고강동 435,고강동 436,0.19,0.19,0.19,,,,
990,소로3류66호선,시도990호선(고강-고강),고강동 438,고강동 438,0.26,0.26,0.26,,,,
991,소로3류67호선,시도991호선(고강-고강),고강동 440,고강동 440,0.234,0.234,0.234,,,,
992,소로3류68호선,시도992호선(고강-고강),고강동 440,고강동 432,0.625,0.625,0.625,,,,
993,소로3류69호선,시도993호선(고강-고강),고강동 431,고강동 436,0.33,0.33,0.33,,,,
994,소로3류70호선,시도994호선(원종-원종),원종동 308-5,원종동 406,0.13,0,,,,,0.13
995,소로3류71호선,시도995호선(원종-원종),원종동 423,원종동 423,0.135,0.135,0.135,,,,
996,소로3류72호선,시도996호선(원종-원종),원종동 424,원종동 405,0.402,0.402,0.402,,,,
997,소로3류73호선,시도997호선(원종-고강),원종동 442,고강동 442,0.126,0.126,0.126,,,,
998,소로3류74호선,시도998호선(고강-고강),고강동 443,고강동 443,0.162,0.162,0.162,,,,
999,소로3류75호선,시도999호선(고강-고강),고강동 468,고강동 468,0.053,0.053,0.053,,,,
1000,소로3류76호선,시도1000호선(고강-고강),고강동 497-1,고강동 497-1,0.158,0.158,0.158,,,,
1001,소로3류77호선,시도1001호선(고강-고강),고강동 497-1,고강동 482,0.66,0.66,0.66,,,,
1002,소로3류78호선,시도1002호선(고강-고강),고강동 497,고강동 497,0.212,0.212,0.212,,,,
1003,소로3류79호선,시도1003호선(고강-고강),고강동 495,고강동 494,0.246,0.246,0.246,,,,
1004,소로3류80호선,시도1004호선(고강-고강),고강동 495,고강동 499,0.644,0.644,0.644,,,,
1005,소로3류81호선,시도1005호선(고강-고강),고강동 496,고강동 496,0.148,0.148,0.148,,,,
1006,소로3류82호선,시도1006호선(고강-고강),고강동 250-12,고강동 246-4,0.16,0,,,,,0.16
1007,소로3류83호선,시도1007호선(고강-고강),고강동 25-77,고강동 250-13,0.115,0,,,,,0.115
1008,소로3류84호선,시도1008호선(고강-고강),고강동 245-1,고강동 244-3,0.08,0,,,,,0.08
1009,소로3류85호선,시도1009호선(고강-고강),고강동 502,고강동 502,0.13,0.13,0.13,,,,
1010,소로3류86호선,시도1010호선(고강-고강),고강동 산 63-2,고강동 503,0.465,0,,,,,0.465
1011,소로3류87호선,시도1011호선(고강-고강),고강동 509,고강동 502,0.55,0.55,0.55,,,,
1012,소로3류88호선,시도1012호선(고강-고강),고강동 509,고강동 505,0.328,0.328,0.328,,,,
1013,소로3류89호선,시도1013호선(고강-고강),고강동 506,고강동 506,0.08,0.08,0.08,,,,
1014,소로3류90호선,시도1014호선(고강-고강),고강동 506,고강동 506,0.154,0.154,0.154,,,,
1015,소로3류91호선,시도1015호선(고강-고강),고강동 505,고강동 505,0.296,0.296,0.296,,,,
1016,소로3류92호선,시도1016호선(고강-고강),고강동 산 63-12,고강동 329-9,0.136,0,,,,,0.136
