,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
4070,202009,경인선,중동,824,10,9431,1331,14820,4657,36446,5906,28113,11414,14444,6876,9788,6435,9442,6474,9713,7634,9377,7829,8399,8811,8594,9611,9862,11529,10515,17228,11228,26536,6083,25829,4800,14524,3855,11623,2592,8593,1038,5062,119,1824,0,0,0,0,0,0,20201003
4449,202008,7호선,까치울,0,0,3654,863,9530,3741,25954,4934,32865,7900,15138,4439,8091,4160,7183,5240,7647,6041,7779,6006,7178,5879,6927,6906,7842,9498,8791,15035,9027,24635,5685,22574,4669,12891,3718,11026,2690,10488,838,5690,0,8,0,0,0,0,0,0,20200903
4469,202008,7호선,상동,4,0,3985,1593,13125,4884,33002,9860,30236,24537,14848,24546,10937,13083,11965,13470,13278,14285,13203,15913,13439,15667,15153,14985,18523,16569,20609,21484,26365,38115,16015,33177,13639,17864,15068,12877,14168,10874,4727,7678,29,1102,0,0,0,0,0,0,20200903
4474,202008,7호선,신중동,4,0,4841,1516,13926,5498,37875,13399,37027,38064,18134,23132,13325,13170,13282,11086,14044,12187,13817,13583,13938,13376,15153,14059,17031,16346,22516,21777,37450,36686,16842,37105,17915,18473,10541,14436,8693,13088,3676,10515,2,299,0,0,0,0,0,0,20200903
4488,202008,7호선,춘의,0,0,4364,1370,8310,5305,20167,23611,21510,43831,11740,14800,7979,6909,7563,5632,7692,6013,7689,6567,7455,6132,7863,6632,9514,7442,22343,10271,35899,17555,13855,15805,9087,10367,7326,9073,4062,7255,1175,5218,0,17,0,0,0,0,0,0,20200903
4665,202008,경인선,소사,1438,86,14539,2593,14635,5128,30511,6964,28410,9762,17559,7741,13667,7788,11801,8367,11895,9090,10636,9418,9764,9706,9870,10130,10099,13018,11831,18073,11138,27093,6967,24119,5280,13931,4323,13389,3249,11892,1455,8393,164,1662,0,0,0,0,0,0,20200903
4667,202008,경인선,역곡,1034,12,23790,3479,38985,9389,103255,11812,98037,22942,49708,20007,32106,17916,28692,19764,29892,21724,28507,23223,24732,24835,24192,27811,26140,39196,28889,54491,29523,96925,19046,83277,15899,48482,13719,40537,11503,35960,5014,22616,370,2922,0,0,0,0,0,0,20200903
4673,202008,경인선,중동,821,3,9135,1381,14780,4584,35771,5557,28001,10409,14677,7278,10691,6700,10526,6717,10512,8084,10448,8032,8803,9076,8827,9450,10008,11868,11097,16060,11558,26158,6140,25481,4939,14818,4183,11927,2778,10508,1204,6608,126,2405,0,0,0,0,0,0,20200903
5044,202007,7호선,까치울,4,0,4144,1034,11314,4190,32211,5817,39876,9999,17798,5008,9494,4714,7989,6580,8383,7328,9048,7312,8091,7012,8578,8010,9982,11102,10705,18310,11086,29777,6672,26889,5576,15312,4604,12660,3437,12830,1007,7480,0,14,0,0,0,0,0,0,20200803
5064,202007,7호선,상동,9,0,4581,1876,16210,5478,41477,11612,37310,28598,17377,26167,12573,14800,13325,14643,14868,15750,14980,17367,15499,17425,17347,17309,20720,19828,23393,26824,30109,46176,18288,40030,15854,21190,18153,15676,16653,14316,5710,10289,31,1529,0,0,0,0,0,0,20200803
5069,202007,7호선,신중동,7,0,5597,1776,17151,5927,46897,16056,44597,47498,21325,26390,15352,15160,15114,12571,16449,13519,16103,15572,16168,15572,17737,16153,20836,19442,26145,25644,44720,44628,19061,45360,19932,21113,12564,17659,11015,16333,4843,13951,1,585,0,0,0,0,0,0,20200803
5083,202007,7호선,춘의,0,0,5031,1364,9883,6217,24035,26359,24884,50873,13240,18658,9232,8088,7832,6206,8446,6358,8641,7465,8352,7149,9281,7581,11307,8498,26564,11567,41547,19764,15321,17924,9898,11597,7832,10478,5039,8291,1427,6638,4,41,0,0,0,0,0,0,20200803
5262,202007,경인선,소사,1604,159,17007,2973,16464,5864,36525,8031,33513,11604,19753,9577,15550,9028,13372,9865,13206,10251,12413,10646,11561,11296,11514,11364,12364,15013,14143,21017,13119,30557,7855,28150,6139,15801,4907,15956,3923,14637,1730,10565,211,2487,0,0,0,0,0,0,20200803
5264,202007,경인선,역곡,1153,15,27331,4298,46643,10670,127643,13736,120783,28033,59988,21775,37361,20178,33088,21442,33798,23858,32599,26703,27936,28642,27733,31594,30643,45288,34242,64263,34737,115901,22028,99596,18509,55798,16448,50191,14148,46609,6083,29778,478,3999,0,0,0,0,0,0,20200803
5270,202007,경인선,중동,894,8,10876,1520,17600,5048,44177,6442,33919,12355,17429,8341,12200,7418,11620,7692,11812,8695,11642,8929,9950,10353,9965,10903,11806,13783,12558,19422,13525,30395,7105,30289,5845,16911,4946,14000,3346,13433,1464,8884,175,3354,0,0,0,0,0,0,20200803
5642,202006,7호선,까치울,1,0,3794,993,10462,3857,30634,5286,37026,9732,16603,4448,8398,4523,7444,5488,7633,6318,8079,6235,6951,6288,7481,7361,8470,9976,9708,17204,9952,27782,6192,24909,5061,14269,4230,11857,3070,11834,1035,6750,0,13,0,0,0,0,0,0,20200703
5662,202006,7호선,상동,5,1,4188,1846,15751,5101,39032,10965,35317,26126,16018,22773,11175,13150,11614,12521,13101,13850,13229,14748,12895,15194,15154,14723,17501,16850,20903,23327,26826,41055,15901,36471,13737,19615,15238,14468,14320,12250,4670,9004,24,1494,0,0,0,0,0,0,20200703
5667,202006,7호선,신중동,7,0,5483,2128,16428,5931,44574,14359,42104,42906,19980,25129,13717,13662,13585,11156,14221,11785,14125,13944,14283,13420,15222,14552,17728,16969,24096,22644,40899,40621,17541,42340,18071,19358,10987,16216,9253,14633,3866,12529,4,373,0,0,0,0,0,0,20200703
5681,202006,7호선,춘의,0,0,4894,1314,9397,6066,23016,24745,23520,47401,12498,16991,8492,7204,6982,5628,7354,5727,7871,6782,7836,6281,8365,6911,10850,8026,25161,10477,39956,18736,13543,17176,8805,10705,7035,9686,4027,7915,1329,6022,2,38,0,0,0,0,0,0,20200703
5863,202006,경인선,소사,1357,106,16887,3061,16183,5644,35554,7758,31938,11573,18775,8804,14342,8499,12176,9090,12064,9827,11413,10206,10934,10345,10642,10918,11617,14268,13822,19917,13378,29492,7689,26678,5704,15247,4827,15031,3565,13138,1594,9341,146,2058,1,0,0,0,0,0,20200703
