Month,Day,강수,강수형태,기온,풍속,풍향
5,7,-0.08333333333333333,-0.08333333333333333,8.770833416666669,0.38749999999999996,177.29166666666666
5,8,0.0,0.0,14.591666666666669,0.46249999999999997,154.95833333333334
5,9,0.0,0.0,14.262500041666664,0.35000000000000003,166.41666666666666
6,1,0.0,0.0,16.991666583333334,0.18333333333333335,113.25
6,10,0.0,0.0,19.812499708333334,0.7083333333333331,62.291666666666664
6,11,0.0,0.0,19.400000000000002,0.22916666666666663,113.70833333333333
6,12,0.0,0.0,20.050000083333334,0.33749999999999997,153.75
6,13,0.0,0.0,21.92916658333333,0.25416666666666665,163.79166666666666
6,14,0.0,0.0,22.091666583333332,0.6874999999999997,187.83333333333334
6,15,0.0,0.0,21.666666791666668,0.6124999999999999,102.70833333333333
6,16,0.0,0.0,21.254166583333337,0.4166666666666666,189.20833333333334
6,17,0.0,0.0,20.6375,0.3249999999999999,125.29166666666667
6,18,0.08333333333333333,0.08333333333333333,14.95833320833333,0.24166666666666667,152.5
6,19,0.0,0.0,21.908333458333328,0.17916666666666667,199.29166666666666
6,2,0.0,0.0,19.816666541666667,0.27499999999999997,156.66666666666666
6,20,0.0,0.0,21.554166750000004,0.24583333333333326,189.5
6,21,0.0,0.0,22.008333083333337,0.47083333333333344,178.875
6,22,0.0,0.0,24.700000208333336,0.5291666666666667,114.625
6,23,0.0,0.0,24.062499916666667,0.46666666666666656,141.625
6,24,0.0,0.0,23.279166625000006,0.3999999999999999,142.66666666666666
6,25,0.0,0.0,23.820833500000003,0.26666666666666666,129.83333333333334
6,26,0.041666666666666664,0.041666666666666664,24.89583325,0.225,89.66666666666667
6,27,0.10416666666666667,0.08333333333333333,24.416666541666668,0.18333333333333326,147.875
6,28,0.125,0.16666666666666666,22.329166708333332,0.13333333333333336,117.75
6,29,0.0,0.0,22.525000000000002,0.23749999999999996,100.33333333333333
6,3,0.0,0.0,21.795833541666667,0.42916666666666664,177.20833333333334
6,30,0.0,0.0,22.570833500000003,0.37916666666666665,184.04166666666666
6,4,0.0,0.0,21.412500041666664,0.3166666666666666,180.04166666666666
6,5,0.0,0.0,20.883333083333337,0.19583333333333333,124.41666666666667
6,6,2.0833333333333335,0.625,19.679166291666665,0.6833333333333335,75.58333333333333
6,7,0.0625,0.08333333333333333,19.70833316666667,0.775,30.541666666666668
6,8,0.0,0.0,21.345833208333335,0.18333333333333335,140.54166666666666
6,9,0.5,0.125,19.950000125000003,0.325,161.95833333333334
7,1,0.0,0.0,23.449999958333336,0.28750000000000003,173.58333333333334
7,10,0.25,0.20833333333333334,21.825,1.0916666666666668,39.041666666666664
7,11,-0.041666666666666664,-0.041666666666666664,18.537499874999998,0.6541666666666666,49.541666666666664
7,12,0.041666666666666664,0.08333333333333333,23.666666666666668,0.3291666666666666,170.54166666666666
7,13,0.0,0.0,23.683333333333334,0.2708333333333333,79.125
7,14,0.0,0.0,25.354166666666668,0.27499999999999997,116.125
