,정류소id,val,정류소명,위도,경도
131,210000146.0,87.0,상인초등학교.금강아파트,37.5121667,126.7557833
132,210000148.0,103.0,꿈마을.연화마을,37.49845,126.78005
133,210000149.0,372.0,소명사거리.동영피렌체,37.4852,126.7884333
134,210000150.0,427.0,소명여중고입구,37.4881667,126.7897167
135,210000151.0,427.0,원미풍림아파트,37.49045,126.7903
136,210000152.0,427.0,축협원미지점,37.4934,126.7910167
137,210000153.0,427.0,원미두산아파트,37.49545,126.7915333
138,210000154.0,321.0,조마루삼거리,37.4972333,126.792
139,210000155.0,321.0,춘의아파트,37.5005667,126.7932833
140,210000156.0,144.0,춘의동차고지,37.50175,126.7943167
141,210000157.0,832.0,상동역8번출구.세이브존,37.506,126.7551
142,210000158.0,1291.0,은하쌍용아파트,37.50435,126.768
143,210000159.0,404.0,송내역.반달공영주차장,37.4887333,126.75175
144,210000160.0,952.0,부천터미널소풍,37.5044,126.75775
145,210000161.0,1096.0,부천시청역4번출구.현대백화점.경기예고,37.5052,126.7611667
146,210000163.0,1107.0,신중동역4번출구.롯데백화점.홈플러스중동지점,37.5037,126.7728833
147,210000164.0,1196.0,신중동역3번출구.롯데백화점.홈플러스중동지점,37.5031833,126.7729667
148,210000165.0,1170.0,부천시청역1번출구,37.50405,126.76675
149,210000166.0,1096.0,부천시청역3번출구.경기예고.현대백화점,37.5048,126.76125
150,210000167.0,204.0,포도마을,37.5009167,126.75745
151,210000168.0,375.0,신중동역6번출구.중흥중학교,37.5054667,126.7757667
152,210000169.0,687.0,신중동역2번출구.원미경찰서.롯데백화점,37.5009667,126.7770667
153,210000170.0,178.0,미리내마을,37.5008333,126.7712667
154,210000171.0,347.0,송내고교입구,37.4887167,126.74485
155,210000172.0,661.0,소사역.부천성모병원입구,37.4842333,126.7934
156,210000173.0,340.0,소명사거리,37.4848167,126.7896833
157,210000174.0,150.0,춘의역4번출구,37.50335,126.78625
158,210000175.0,459.0,부천고용복지플러스센터,37.50285,126.7834333
159,210000176.0,87.0,부흥중학교.심원고교,37.5054,126.77855
160,210000177.0,87.0,샛별어린이공원,37.50645,126.7763833
161,210000178.0,87.0,나성빌딩,37.5083667,126.7746667
162,210000179.0,156.0,약대사거리,37.5145667,126.7745833
163,210000180.0,87.0,샛별어린이공원,37.50665,126.7766167
164,210000181.0,87.0,부흥중학교,37.5055833,126.77875
165,210000182.0,459.0,부천고용복지플러스센터,37.5031333,126.7829667
166,210000183.0,459.0,춘의역5번출구,37.50355,126.7850667
167,210000184.0,326.0,부천역.심곡2동행정복지센터,37.48575,126.7853
168,210000185.0,413.0,소명사거리,37.4848833,126.7903833
169,210000186.0,734.0,소사역.부천성모병원입구,37.4845,126.79295
170,210000187.0,306.0,부인초교,37.4898,126.74775
171,210000188.0,300.0,목련마을,37.4926833,126.7478
