,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소
257591,GS25국민차차차점,소매,종합소매점,편의점,126.761927909788,37.5232701448342,경기도 부천시 송내대로 450
257650,여월베르네어린이집,학문/교육,유아교육,어린이집,126.803711709725,37.5137173303809,경기도 부천시 여월로 65
257691,피자스쿨,음식,패스트푸드,피자전문,126.775192690249,37.5000536797788,경기도 부천시 조마루로285번길 60
257699,한돈두루치기생삼겹살,음식,한식,갈비/삼겹살,126.785144184116,37.4847397049851,경기도 부천시 부천로10번길 42
257715,엘림플라워가든커피,음식,커피점/카페,커피전문점/카페/다방,126.764212132873,37.4862796210456,경기도 부천시 중동로 71
257726,세븐일레븐부천원미본점,소매,종합소매점,편의점,126.788209942359,37.4909433008384,경기도 부천시 조종로36번길 48
257752,몸짱피부관리실,생활서비스,이/미용/건강,비만/피부관리,126.768264602571,37.5149207710973,경기도 부천시 평천로 698
257817,조셉하우스,소매,가정/주방/인테리어,침구/수예품,126.766297925635,37.4880224002817,경기도 부천시 부일로 326
257820,시스템,학문/교육,학원기타,학원(종합),126.764410480954,37.5174754843957,경기도 부천시 평천로 655
257887,GS25,소매,종합소매점,편의점,126.792294927648,37.4753160661501,경기도 부천시 은성로 15
257945,대가떡방앗간,생활서비스,세탁/가사서비스,방앗간/정미소,126.769871998386,37.4817614240592,경기도 부천시 경인로134번길 52
258003,빛나라화장품,소매,화장품소매,화장품판매점,126.77545822607,37.4990292528333,경기도 부천시 조마루로285번길 34
258015,로데오노래클럽,음식,유흥주점,룸살롱/단란주점,126.762272546859,37.503775427899,경기도 부천시 석천로183번길 13
258032,삼성자동차용품,생활서비스,자동차/이륜차,자동차정비/카센타,126.785577807696,37.489384507884,경기도 부천시 부흥로 408
258059,세븐일레븐,소매,종합소매점,편의점,126.816709115395,37.518695837319,경기도 부천시 삼작로495번길 4
258075,미드미헤어샵,생활서비스,이/미용/건강,여성미용실,126.778547653186,37.5037646424852,경기도 부천시 옥산로113번길 31
258153,밥이야,음식,한식,한식/백반/한정식,126.762931174442,37.5262270273565,경기도 부천시 오정로 27-7
258207,뷰티하우스,생활서비스,이/미용/건강,여성미용실,126.80868522549,37.4847541776992,경기도 부천시 부일로 710
258210,좋은자리공인중개사,부동산,부동산중개,부동산중개,126.821731379845,37.4683328641875,경기도 부천시 양지로184번길 8-4
258211,GS25상동석천로점,소매,종합소매점,편의점,126.756992599787,37.4900242683186,경기도 부천시 석천로25번길 56
258229,88수퍼,소매,종합소매점,수퍼마켓,126.761782872019,37.494390532444,경기도 부천시 장말로175번길 28-2
258242,성우동관,음식,분식,라면김밥분식,126.779146863166,37.5162771873342,경기도 부천시 수도로 118
258266,감탄떡볶이중동3호점,음식,분식,떡볶이전문,126.760716893708,37.4979925014438,경기도 부천시 석천로 107
258273,라돌체비타,소매,의복의류,일반의류,126.753472678946,37.5045028278372,경기도 부천시 상동로 84
258274,CU,소매,종합소매점,편의점,126.751411367881,37.5128246087688,경기도 부천시 도약로 19
258338,CU,소매,종합소매점,편의점,126.746793298102,37.4913581635847,경기도 부천시 상일로 42
258346,알에스밴,소매,사무/문구/컴퓨터,컴퓨터/주변기기,126.750085432869,37.5048364555854,경기도 부천시 소향로13번길 28-14
258355,진달래공인중개사,부동산,부동산중개,부동산중개,126.756421526092,37.5087777736161,경기도 부천시 계남로 72
258378,라무진,음식,한식,한식/백반/한정식,126.777971969253,37.5009204280852,경기도 부천시 신흥로 190-1
258405,유민경헤어아띠,생활서비스,이/미용/건강,여성미용실,126.779618763689,37.5074429245259,경기도 부천시 정주로14번길 28
258407,도예공방THECLAYDA,소매,가정/주방/인테리어,주방가구판매,126.762840916482,37.4940051628411,경기도 부천시 장말로187번길 19
258464,팔도주막,음식,한식,한식/백반/한정식,126.749444932751,37.5045863973841,경기도 부천시 소향로13번길 20
258469,세븐스타코인노래연습장부천고강점,관광/여가/오락,무도/유흥/가무,노래방,126.816360574066,37.5271530649482,경기도 부천시 역곡로 478
258481,더바디샵,소매,화장품소매,화장품판매점,126.762071535382,37.5043049309835,경기도 부천시 길주로 180
258492,CU,소매,종합소매점,편의점,126.752375141771,37.5120058448455,경기도 부천시 도약로 36
258507,라마타이전통태국마사지,관광/여가/오락,요가/단전/마사지,지압원,126.752415488482,37.5048250481387,경기도 부천시 상동로 83
258512,헤어락,생활서비스,이/미용/건강,여성미용실,126.800364653099,37.483958159324,경기도 부천시 부일로 631
258516,상동뷰티라인,생활서비스,이/미용/건강,비만/피부관리,126.751568118967,37.4905076871946,경기도 부천시 송내대로73번길 46
258523,사나이삼계탕,음식,한식,한식/백반/한정식,126.775911987392,37.4989438524236,경기도 부천시 조마루로291번길 30
258539,대게가,음식,일식/수산물,바닷가재/게요리전문,126.776948169388,37.4964316862809,경기도 부천시 부흥로315번길 47
258547,사랑피아노학원,학문/교육,학원기타,학원(종합),126.80508561182,37.5289947616928,경기도 부천시 소사로 816
258579,채선당샤브보트,음식,별식/퓨전요리,샤브샤브전문,126.75669087581,37.5041312820545,경기도 부천시 송내대로 239
258595,아이센스PC방,관광/여가/오락,PC/오락/당구/볼링등,인터넷PC방,126.804454554534,37.4806117077753,경기도 부천시 경인옛로 116
258688,다구오뉴코아아울렛부천점,음식,별식/퓨전요리,철판구이요리전문,126.75669087581,37.5041312820545,경기도 부천시 송내대로 239
258715,더캠프피씨방,관광/여가/오락,PC/오락/당구/볼링등,인터넷PC방,126.780532096497,37.4874493623903,경기도 부천시 부일로449번길 28
258741,점프셈교실,학문/교육,학원-어학,학원-외국어/어학,126.822150862624,37.4675351175665,경기도 부천시 옥길로 117
258750,CU,소매,종합소매점,편의점,126.812823957669,37.471154071875,경기도 부천시 양지로92번길 40-1
258805,일오삼부대찌개&주꾸미,음식,한식,부대찌개/섞어찌개,126.79818183721,37.4748174491912,경기도 부천시 은성로68번길 10
258835,세라헤어,생활서비스,이/미용/건강,여성미용실,126.794904507003,37.4754418264106,경기도 부천시 은성로37번길 6
258860,JG와일드테이블,음식,양식,정통양식/경양식,126.778474598642,37.4964474807245,경기도 부천시 신흥로 140
258861,정재영족발보쌈,음식,한식,족발/보쌈전문,126.820807500986,37.4688552633855,경기도 부천시 양지로176번길 8-8
258888,유일돌구이,음식,한식,한식/백반/한정식,126.757641210145,37.4897788015321,경기도 부천시 석천로25번길 43
258900,시스템,생활서비스,개인서비스,탐정/경호,126.774666737287,37.4872535156601,경기도 부천시 부일로 399-1
258904,바다수산,음식,일식/수산물,음식점-일식,126.780935537368,37.5071501706698,경기도 부천시 계남로295번길 47-22
258919,에이디오원,소매,기타판매업,통신판매,126.778337984958,37.5152416455861,경기도 부천시 옥산로251번길 41
258925,GS25소사범안로점,소매,종합소매점,편의점,126.811300432564,37.473841880713,경기도 부천시 범안로95번길 43
258928,오정꽃집,소매,선물/팬시/기념품,꽃집/꽃배달,126.769101959347,37.5149024700309,경기도 부천시 평천로 706
258931,BHC치킨,음식,닭/오리요리,후라이드/양념치킨,126.82230570854,37.4677529115346,경기도 부천시 옥길로 121
258942,라인모텔,숙박,모텔/여관/여인숙,모텔/여관/여인숙,126.804220685634,37.5278957564064,경기도 부천시 소사로807번길 13
258966,주인테리어,소매,가정/주방/인테리어,지물판매,126.747546488219,37.497718436451,경기도 부천시 부흥로 49
258978,점프셈교실,학문/교육,학원-음악미술무용,피아노/바이올린/기타,126.767473700576,37.4935400010744,경기도 부천시 중동로 166
258979,점프셈교실,학문/교육,학원-음악미술무용,피아노/바이올린/기타,126.756779599967,37.487183766589,경기도 부천시 송내대로42번길 61
259020,돼지판돈,음식,한식,한식/백반/한정식,126.784793929803,37.4868175002891,경기도 부천시 부천로30번길 25
259028,BBQ치킨,음식,닭/오리요리,후라이드/양념치킨,126.806082472782,37.5196881518375,경기도 부천시 삼작로 400
259044,드림하우스,학문/교육,도서관/독서실,고시원,126.807019370524,37.5247884642196,경기도 부천시 원종로65번길 14-23
259111,영창삼익중고피아노,소매,중고품소매/교환,중고가전가구,126.756363392407,37.5061461474312,경기도 부천시 길주로 125
259115,디아몽웨딩,생활서비스,예식/의례/관혼상제,예식장/예식서비스,126.75527048941,37.4888618213233,경기도 부천시 부일로 223
259144,열린공인중개사사무소,부동산,부동산중개,부동산중개,126.791589487389,37.4959516458048,경기도 부천시 원미로 149
259146,밥도둑,음식,한식,한식/백반/한정식,126.781487591416,37.4787461840712,경기도 부천시 성주로 228
259147,헤어디자인,생활서비스,이/미용/건강,여성미용실,126.823272900022,37.5250055971957,경기도 부천시 고리울로74번길 48
259168,세븐일레븐,소매,종합소매점,편의점,126.816298657482,37.5296392991756,경기도 부천시 역곡로 504
259227,올리브영,소매,종합소매점,시장/종합상가,126.804498440209,37.5239610512196,경기도 부천시 소사로 759
259246,맛있는짬뽕짜장,음식,중식,중국음식/중국집,126.771722060852,37.5206783322437,경기도 부천시 신흥로413번길 62
259279,거성상사,생활서비스,자동차/이륜차,자동차정비/카센타,126.772469186601,37.5144329370054,경기도 부천시 수도로55번길 6
259354,종로떡집,음식,제과제빵떡케익,떡전문,126.781484792034,37.4837919695958,경기도 부천시 자유로 47-1
259423,한국위생공사,생활서비스,세탁/가사서비스,청소/소독,126.780669297136,37.4998760704555,경기도 부천시 옥산로 71
259456,비앤더블유,음식,유흥주점,호프/맥주,126.78434148326,37.4875246651248,경기도 부천시 부일로483번길 40
259465,CAFEDEVELOP,음식,커피점/카페,커피전문점/카페/다방,126.79529634462,37.5200291365849,경기도 부천시 삼작로 304
259471,지후헤어,생활서비스,이/미용/건강,여성미용실,126.787120305993,37.4932928358688,경기도 부천시 조종로 21
259472,명태사랑,음식,한식,한식/백반/한정식,126.810749037113,37.4879466320636,경기도 부천시 역곡로 30
259530,선영메디카,소매,의약/의료품소매,의료용품소매,126.786347214429,37.4858603468159,경기도 부천시 부일로505번길 9
259573,수앤수뷰티끄,생활서비스,이/미용/건강,비만/피부관리,126.770818219762,37.5012967192633,경기도 부천시 중동로248번길 38
259604,이조상회,소매,종합소매점,종합소매,126.762398641155,37.51737332661,경기도 부천시 송내대로 388
259607,민농수산,소매,음/식료품소매,수산물소매,126.796031653906,37.5193248181229,경기도 부천시 삼작로302번길 21-15
259613,힐링,음식,유흥주점,룸살롱/단란주점,126.763161550567,37.5033612545156,경기도 부천시 석천로 180
